FILE,DATE,FUND,BENCHMARK,SECURITY,FUND_AVG_WEIGHT,FUND_CONTRIB,BENCH_AVG_WEIGHT,BENCH_CONTRIB,SELECT. EFFECT,ALLOC. EFFECT,TOTAL EFFECT,ROW_TYPE
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,TOTS3 BZ Equity,0.004752148392120702,0.0005144973054607876,0.005512105667993835,0.0006014504770761727,-4.030837817353933e-06,-8.292233379803124e-05,-8.695317161538517e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,FEMSAUBD MM Equity,0.019917080759648723,0.0012293725725315134,0.02206522967832413,0.0013511149407481327,9.794721643155641e-06,-0.00013153708985977493,-0.00012174236821661929,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,FALAB CI Equity,0.004708123771951919,0.0006180600662762394,0.005626481792987681,0.0007442847727861409,-4.742061373680297e-06,-0.00012148264513622115,-0.00012622470650990145,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,NU US Equity,0.07188869080072827,0.004455044275707293,0.07334153704330056,0.004585057212867611,-3.918605498356639e-05,-9.082688217675137e-05,-0.00013001293716031776,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,ENELCHIL CI Equity,0.0,0.0,0.0029600968464831103,0.00016028100183059044,0.0,-0.00016028100183059044,-0.00016028100183059044,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,GFINBURO MM Equity,0.0,0.0,0.004737624452494038,0.0001971402193356008,0.0,-0.0001971402193356008,-0.0001971402193356008,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,PSSA3 BZ Equity,0.0,0.0,0.0021610267434617886,0.00019998529653081405,0.0,-0.00019998529653081405,-0.00019998529653081405,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,GRUMAB MM Equity,0.0,0.0,0.003422189293294948,0.00020059731994195133,0.0,-0.00020059731994195133,-0.00020059731994195133,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,EGIE3 BZ Equity,0.0,0.0,0.0021016297465893743,0.00020414257865012287,0.0,-0.00020414257865012287,-0.00020414257865012287,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,TRAXIONA MM Equity,0.004223266575634322,-0.00022211295725088596,0.0,0.0,0.0,-0.00022211295725088596,-0.00022211295725088596,company
