Fondo,Clase,Fecha_Reporte,Fecha_Inception,YTD_Desde,YTD_Hasta,1Y_Desde,1Y_Hasta,3Y_Desde,3Y_Hasta,5Y_Desde,5Y_Hasta,10Y_Desde,10Y_Hasta,SI_Desde,SI_Hasta,YTD,1_Year,3_Years,5_Years,10_Years,Since_Inception,MOIC_x,Alpha,DesvEstandar_3Y
MSC,Fund Gross LC,2025-10-22,2008-05-27,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2008-05-27,2025-10-22,0.26503369153038614,0.1576502629776495,0.06737389582064579,0.05734254854267351,0.093711592504919,0.09184244488302218,4.614832275273092,-0.026282712717941248,0.18732194366318106
MSC,MSCI EM Latam SC USD Net LC,2025-10-22,2008-05-27,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2008-05-27,2025-10-22,0.2627597057069242,0.16669698468642857,0.08921747497965904,0.0666015697406086,0.0956972893333039,0.06358643276793852,2.923933355821925,,0.1665889987922004
MSC,OP/UP Gross vs Benchmark LC,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.0022739858234619437,-0.00904672170877907,-0.02184357915901325,-0.009259021197935091,-0.0019856968283848975,0.028256012115083662,,,
MSC,Fund Net USD,2025-10-22,2008-05-27,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2008-05-27,2025-10-22,0.39462848427179265,0.19649354001643538,0.051832474737730116,0.05142114036577028,0.04791257213763189,0.02816786717174602,1.6216927218798163,-0.03464737464472245,0.24165628181001692
MSC,Fund Gross USD,2025-10-22,2008-05-27,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2008-05-27,2025-10-22,0.4075355538045773,0.21081411403070738,0.06450521964802336,0.06478122914778073,0.060165093717360785,0.03937073507062361,1.95831337491879,-0.023053151691448504,0.24164794389441252
MSC,MSCI EM Latam SC USD Net USD,2025-10-22,2008-05-27,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2008-05-27,2025-10-22,0.4050979173927254,0.2202518087542591,0.08688618082445898,0.07460864254882882,0.06050198838196574,0.007799285197611416,1.1447842408614968,,0.2281490454998526
MSC,OP/UP Gross vs Benchmark USD,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.0024376364118519067,-0.009437694723551715,-0.02238096117643562,-0.00982741340104809,-0.00033689466460495865,0.03157144987301219,,,
MLE,Fund Net LC,2025-10-22,2015-10-26,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2015-10-26,2025-10-22,0.23916668679772246,0.11445374533498565,0.06743411491204854,0.05739653091809038,,0.08557172257079348,2.271138001593982,-0.029446693465492446,0.15093544184067248
MLE,Fund Gross LC,2025-10-22,2015-10-26,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2015-10-26,2025-10-22,0.24927131481387033,0.12566863626110214,0.0783916894383967,0.06816821244490145,,0.0940546697719411,2.454800206883013,-0.019574005080365664,0.15108543563752852
MLE,MSCI Latam 10/40 Net LC,2025-10-22,2015-10-26,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2015-10-26,2025-10-22,0.2576316995464163,0.15596394683337178,0.09269471572893573,0.10458718109692566,,0.09749781691478998,2.5330833667661103,,0.13818901828812777
MLE,OP/UP Gross vs Benchmark LC,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,-0.008360384732545967,-0.03029531057226964,-0.014303026290539034,-0.03641896865202421,,-0.003443147142848879,,,
MLE,Fund Net USD,2025-10-22,2015-10-26,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2015-10-26,2025-10-22,0.3817894491909788,0.17195768536513967,0.06968084027542254,0.06809999605033368,,0.0576423349966837,1.7504714697092914,-0.026530499017897835,0.21020547869281217
MLE,Fund Gross USD,2025-10-22,2015-10-26,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2015-10-26,2025-10-22,0.3930521053558922,0.18375043210684638,0.08066428298353134,0.07898291443330652,,0.06591050156902534,1.8920899394316297,-0.01661810835154076,0.21038363794870504
MLE,MSCI Latam 10/40 Net USD,2025-10-22,2015-10-26,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2015-10-26,2025-10-22,0.40264697211835343,0.21547273313972237,0.09474054120461872,0.11489388220917784,,0.06720288671545727,1.9151343106516396,,0.20163913108888626
MLE,OP/UP Gross vs Benchmark USD,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,-0.00959486676246124,-0.03172230103287599,-0.014076258221087379,-0.03591096777587133,,-0.0012923851464319291,,,
Patria Long Bias (BRL),Fund Net,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.1686035468347653,0.2730350657203304,0.12085696990092054,,,0.1652278133648426,1.9794898351999999,,0.1935
Patria Long Bias (BRL),Fund Gross,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.19631325388501208,0.321263226981535,0.15014363664606822,,,0.2211396716616174,2.4403097596,,0.1935
Patria Long Bias (BRL),IPCA + Yield IMA-B,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.04576002365888021,0.12730968503319073,0.11329115932346978,,,0.12641683225027323,1.7016063309764997,,
Patria Long Bias (BRL),OP/UP Gross vs Benchmark,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.15055323022613187,0.19395354194834424,0.03685247732259844,,,0.09472283941134418,,,
Patria Pioneiro (BRL),Fund Net,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.10927455228014926,,,,,,,,0.2793
Patria Pioneiro (BRL),Fund Gross,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.1141966372401988,,,,,,,,0.2793
Patria Pioneiro (BRL),Ibovespa,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.07787134384295769,0.04391318637980657,0.03871333709217861,0.10417976141794494,0.09162698153952609,,,,0.1722
Patria Pioneiro (BRL),SMLL (Small Caps Index Bz),,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.13109856344320114,-0.029652361683915607,-0.05926013948336473,0.018151403130695076,0.06532213842082069,,,,0.2305
Patria Pioneiro (BRL),OP/UP Gross vs Ibovespa,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.03632529339724111,,,,,,,,
Patria Pioneiro (BRL),OP/UP Gross vs SMLL,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,-0.01690192620300235,,,,,,,,
