COMPANIES (MSCLUX),% PORTFOLIO,% MSLUELAN,OVERWEIGHT/UNDERWEIGHT
SAO MARTINHO,0,0.0039200809,-0.0039200809
MINEROS,0,0.0040528295,-0.0040528295
HIDROVIAS DO BRASIL,0,0.0040733499,-0.0040733499
IGUATEMI,0.00606919828733449,0.0101644336,-0.00409523531266551
ORBIA,0.004004087852241511,0.0081485215,-0.0041444336477584895
VESTA,0.019497771770114275,0.0237060151,-0.004208243329885723
DANHOS,0,0.0043301726,-0.0043301726
DEXCO,0,0.0043366378,-0.0043366378
LACOMER,0.00010978937246699613,0.0046740159,-0.004564226527533004
MINERVA,0,0.0045876506,-0.0045876506
RIPLEY,0,0.0046748618,-0.0046748618
REGIONAL,0.014268059864785517,0.0190698572,-0.004801797335214481
INVERSIONES AGUAS METROPOLITANAS,0,0.0049873511,-0.0049873511
ODONTOPREV,0,0.0050522731,-0.0050522731
BANCO DEL BAJIO,0.014674015645351857,0.0197390405,-0.005065024854648142
USIMINAS,0,0.0051152164,-0.0051152164
SMU,0,0.0051945738,-0.0051945738
MRV ENGENHARIA,0,0.005236524,-0.005236524
SLC AGRICOLA,0,0.0052736493,-0.0052736493
HAPVIDA,0.001719832056052417,0.0069952419,-0.005275409843947583
IRB BRASIL RESSEGUROS,0,0.0054305533,-0.0054305533
CONCHA Y TORO,0,0.0055150997,-0.0055150997
UNIPAR PARTICIPACOES,0,0.0055679393,-0.0055679393
SIGMA LITHIUM,0,0.0056893868,-0.0056893868
ALSEA,0.008161407453400939,0.0140553501,-0.005893942646599062
AZZAS 2154,0,0.0059111264,-0.0059111264
BANCO EST. RIO GRANDE DO SUL,0,0.0060077792,-0.0060077792
MAGAZINE LUIZA,0,0.006255766,-0.006255766
ECORODOVIAS,0,0.006778008,-0.006778008
AUREN ENERGIA,0,0.0068178728,-0.0068178728
ALPEK,0,0.0071315656,-0.0071315656
VAPORES,0,0.0073897607,-0.0073897607
BOLSA MEXICANA,0,0.0074410763,-0.0074410763
VOLARIS,0,0.0083357357,-0.0083357357
PATRIA INVESTMENTS,0,0.008380537,-0.008380537
NATURA,0.003853571618679646,0.0129054385,-0.009051866881320354
ALUPAR,0,0.0092157195,-0.0092157195
CSN,0,0.0098972179,-0.0098972179
AGUAS ANDINAS,0,0.0100567254,-0.0100567254
COLBUN,0,0.0114142109,-0.0114142109
HYPERMARCAS,0,0.0118351714,-0.0118351714
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.0127240843,-0.0127240843
TELEVISA,0,0.0129605174,-0.0129605174
GERDAU,0,0.0136242478,-0.0136242478
GPS,0,0.01388944,-0.01388944
GRUPO ARGOS,0,0.0141975898,-0.0141975898
MACQUARIE MEXICO,0,0.0144028263,-0.0144028263
CIA SANEAMENTO MINAS GERAIS,0,0.0160171494,-0.0160171494
ALLOS SA,0.0019109249823175683,0.0179617405,-0.01605081551768243
QUALITAS CONTROLADORA,0,0.0162051251,-0.0162051251
CIA DE SANEAMENTO DO PARANA,0,0.0174992061,-0.0174992061
AURA MINERALS,0,0.0183492079,-0.0183492079
SENDAS DISTRIBUIDORA,0,0.019103611,-0.019103611
CEMENTOS ARGOS,0,0.0209465792,-0.0209465792
PARQUE ARAUCO,0,0.0252082206,-0.0252082206
GRUPO INV. SURAMERICANA,0,0.0370937634,-0.0370937634
