COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
GRUPO SPORTS,0.003589637721262321,0,0.003589637721262321
OPERADORA SITES MEXICANOS,0.0034863925241854056,0,0.0034863925241854056
RUMO LOGISTICA,0.007762816447652085,0.0043235514,0.003439265047652085
C&A MODAS,0.003207720137633362,0,0.003207720137633362
MEGACABLE,0.0026247540274815023,0,0.0026247540274815023
KIMBERLY-CLARK MEXICO,0.006525616692138093,0.0040376372,0.002487979492138093
CCU,0.0018273898177129254,0,0.0018273898177129254
GLOBANT,0.0016288301711109494,0,0.0016288301711109494
SOQUIMICH,0.013013506284037954,0.0117009925,0.0013125137840379539
LOCALIZA RENT A CAR,0.0006662865094712012,0,0.0006662865094712012
MARCOPOLO,0.0006006425040751338,0,0.0006006425040751338
REGIONAL,0.00017981074116195578,0,0.00017981074116195578
REDE DOR SAO LUIZ,0.007348326711118667,0.0072504451,9.788161111866714e-05
GRUPO INV. SURAMERICANA,1.9195705945761664e-05,0,1.9195705945761664e-05
PROCAPS,1.0562560430684055e-05,0,1.0562560430684055e-05
ALSEA,3.76115811941533e-06,0,3.76115811941533e-06
NUBANK,0.06712265276057769,0.0672059435,-8.32907394223148e-05
TOTVS,0.003909806132590385,0.0044513228,-0.0005415166674096151
FALABELLA,0.004675712799073462,0.0054844201,-0.0008087073009265377
RAIA DROGASIL,0.006758631230900076,0.0076316249,-0.0008729936690999238
BANCO DO BRASIL,0.008019841537432267,0.0091141167,-0.0010942751625677323
BANCO CHILE,0.010215973467178193,0.0113685365,-0.0011525630328218066
FOMENTO ECONOMICO MEXICANO,0.01985033032940421,0.0215865436,-0.0017362132705957892
CMPC,0,0.0020597641,-0.0020597641
ENGIE BRASIL ENERGIA,0,0.0020751475,-0.0020751475
ENEL AMERICAS,0,0.0021758432,-0.0021758432
PORTO SEGURO,0,0.0022049656,-0.0022049656
CAIXA SEGURIDADE PARTICIPACOES,0,0.0023767227,-0.0023767227
CPFL ENERGIA,0,0.002475978,-0.002475978
GRUPO COMERCIAL CHEDRAUI,0,0.0026492907,-0.0026492907
MBRF GLOBAL FOODS,0,0.0026528762,-0.0026528762
GRUPO AEROPORTUARIO CENTRO NORTE,0.002354441804553862,0.0050394763,-0.002685034495446138
ENEL CHILE,0,0.0026938841,-0.0026938841
CIA PARANAENSE DE ENERGIA,0,0.00318705,-0.00318705
ENERGISA,0,0.0033773622,-0.0033773622
KLABIN,0,0.0034445721,-0.0034445721
GRUMA,0,0.0034774366,-0.0034774366
COPEC,0,0.0037095464,-0.0037095464
MOTIVA INFRAESTRUTURA,0,0.0037477396,-0.0037477396
PROMOTORA Y OPERADORA DE INF,0,0.0037589915,-0.0037589915
MALL PLAZA,0,0.0037820234,-0.0037820234
INTERCONEXION ELECTRICA,0,0.0040012655,-0.0040012655
ULTRAPAR,0,0.004214786,-0.004214786
CIA ENERGETICA MINAS GERAIS,0,0.0042404091,-0.0042404091
STONECO,0,0.0043378562,-0.0043378562
ALFA,0,0.0043612484,-0.0043612484
GRUPO CARSO,0,0.0044758284,-0.0044758284
GRUPO FINANCIERO INBURSA,0,0.0045964193,-0.0045964193
ENEVA,0,0.0046192649,-0.0046192649
TIM PARTICIPACOES,0,0.0047094652,-0.0047094652
CENCOSUD,0,0.0050971286,-0.0050971286
FIBRA UNO,0,0.0054150898,-0.0054150898
BB SEGURIDADE,0,0.0056783802,-0.0056783802
BIMBO,0,0.0057821854,-0.0057821854
XP,0.003009473410828431,0.008891101,-0.0058816275891715696
PROLOGIS PROPERTY MEXICO,0,0.0060533321,-0.0060533321
GERDAU,0,0.0062027427,-0.0062027427
COCA-COLA FEMSA,0,0.0066019204,-0.0066019204
TELEFONICA BRASIL,0,0.006836927,-0.006836927
BANCO SANTANDER,0,0.0068780239,-0.0068780239
ARCA CONTINENTAL,0,0.0069826398,-0.0069826398
JBS,0,0.0073352424,-0.0073352424
VIBRA ENERGIA,0,0.0074647875,-0.0074647875
SUZANO PAPEL,0,0.0076047909,-0.0076047909
BCI,0,0.0076533308,-0.0076533308
LATAM AIRLINES,0,0.0117323452,-0.0117323452
GRUPO AEROPORTUARIO DEL PACIFICO,0,0.0126152699,-0.0126152699
EMBRAER,0,0.0140626649,-0.0140626649
INDUSTRIAS PENOLES,0,0.0143722729,-0.0143722729
VALE,0.05309954441442526,0.0677501447,-0.014650600285574737
CIA. SANEAMENTO BASICO EST. SP,0,0.0154409647,-0.0154409647
AMBEV,0,0.0158869448,-0.0158869448
BANCOLOMBIA,0,0.016612272900000002,-0.016612272900000002
AMERICA MOVIL,0.004429459165804785,0.02216592,-0.017736460834195215
ITAUSA,0,0.0181920038,-0.0181920038
WEG,0,0.0189676713,-0.0189676713
SOUTHERN COPPER,0,0.0205277393,-0.0205277393
BANCO BRADESCO,0.009328815342647212,0.0299219483,-0.020593132957352787
CEMEX,0,0.0209749176,-0.0209749176
PETROBRAS,0.025128268438902954,0.0684848036,-0.043356535161097054
